Restaurant ID,Restaurant,country,City,Address,Locality,Cuisines,Average Cost for two,Table booking,Online delivery,delivering now,rating,Rating color,Rating text,Votes,Price Range
307364,Pizza Hut Delivery,India,New Delhi,"Shop 5-A, Dilashad Garden Metro Station, Dilshad Garden, New Delhi",Dilshad Garden,Fast Food,800,No,Yes,No,3.6,Yellow,Good,107,
307366,Bizibean,India,Gurgaon,"GK-1, Upper Basement, DLF South Point Mall, Golf Course Road, Gurgaon","DLF South Point Mall, Golf Course Road",Cafe,550,No,No,No,3.6,Yellow,Good,59,
307415,Urban Hub,India,New Delhi,"1st Floor, 4/2, Opposite Raymond Showroom, Roop Nagar, Near Kamla Nagar, New Delhi",Kamla Nagar,Fast Food,1900,Yes,No,No,3.6,Yellow,Good,346,
307416,I-Kandy - Le Meridien Gurgaon,India,Gurgaon,"Le Meridien Gurgaon, Sector 26, Gurgaon Delhi Border, MG Road, Gurgaon","Le Meridien Gurgaon, MG Road",Finger Food,4500,Yes,No,No,3.6,Yellow,Good,218,
307578,McDonald's,India,New Delhi,"Ground Floor, DLF City Centre Mall, Shalimar Bagh, New Delhi","DLF City Centre Mall, Shalimar Bagh",Fast Food,500,No,No,No,3.6,Yellow,Good,62,
307692,Granma's Homemade,India,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,Fast Food,200,No,No,No,3.6,Yellow,Good,25,
307700,Kings,India,New Delhi,"3/72, Main Shankar Road, Old, Rajinder Nagar, New Delhi",Rajinder Nagar,Desserts,300,No,No,No,3.6,Yellow,Good,83,
307951,Just Vada Pav,India,New Delhi,"E-157, Krishna Market, Kalkaji, New Delhi",Kalkaji,Street Food,150,No,No,No,3.6,Yellow,Good,94,
307965,Ashok Meat Wala,India,New Delhi,"Shop 16, G-H10, Sunder Vihar, Paschim Vihar, New Delhi",Paschim Vihar,Mughlai,500,No,No,No,3.6,Yellow,Good,40,
308054,Punjabi Chaap Corner,India,New Delhi,"Shop 27, Opposite Syndicate Bank, Near Rapid Flour Mills, Old Rajinder Nagar, New Delhi",Rajinder Nagar,Fast Food,400,No,Yes,No,3.6,Yellow,Good,107,
308192,Shri Gujrat Namkeen Bhandar,India,New Delhi,"3775, Charkhiwalan Gali, Khush Dil, Chawri Bazar, New Delhi",Chawri Bazar,Street Food,100,No,No,No,3.6,Yellow,Good,27,
308238,New York Slice - Express,India,New Delhi,"E-584, Near Savitri Cinema, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,Fast Food,800,No,Yes,No,3.6,Yellow,Good,160,
308331,Pizza Hut Delivery,India,New Delhi,"8-9, Satyam Cinema Complex, Nehru Place, New Delhi",Nehru Place,Fast Food,800,No,Yes,No,3.6,Yellow,Good,103,
308337,La Bodega,India,New Delhi,"1st Floor, 29-B, Middle Lane, Khan Market, New Delhi",Khan Market,Mexican,1700,Yes,Yes,No,3.6,Yellow,Good,505,
308357,Holy Smoke,India,Gurgaon,"103, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",american,1800,Yes,No,No,3.6,Yellow,Good,313,
308470,Dunkin' Donuts,India,Gurgaon,"Shop 3, HUDA City Centre Metro Station, Sector 29, Gurgaon","Huda City Centre Metro Station, Sector 29, Gurgaon",Fast Food,600,No,Yes,No,3.6,Yellow,Good,243,
308609,Cherry Comet,India,Gurgaon,"K-5/A, Near Building 8-B Entrance, Cyber hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Desserts,400,No,Yes,No,3.6,Yellow,Good,455,
